FiscalYear,SegmentCode,NetSales,OperatingProfit,OperatingMargin
2022,PPA,22002,4386,0.1993455140441778
2022,SAT,13381,1949,0.14565428592780807
2022,CF,12534,2014,0.16068294239668102
2023,PPA,26790,6996,0.2611422172452408
2023,SAT,13980,2472,0.17682403433476396
2023,CF,14795,2695,0.1821561338289963
2024,PPA,20834,4514,0.21666506671786503
2024,SAT,10969,1627,0.14832710365575713
2024,CF,12956,2009,0.1550632911392405
2025,PPA,17311,2671,0.15429495696378026
2025,SAT,10224,1207,0.11805555555555555
2025,CF,11382,1028,0.09031804603760324
