PeriodKey,FiscalYear,FiscalQuarter,PeriodLabel,NetSalesRevenues,NetIncome,DilutedEPS,RevenueYoYPct,NetIncomeYoYPct,EPSYoYPct
202401,2024,Q1,FY24 Q1,12185,1751,6.23,,,
202402,2024,Q2,FY24 Q2,15235,2370,8.53,,,
202403,2024,Q3,FY24 Q3,13152,1734,6.29,,,
202404,2024,Q4,FY24 Q4,11143,1245,4.55,,,
202501,2025,Q1,FY25 Q1,8508,869,3.19,-0.3,-0.5,-0.4879614767255217
202502,2025,Q2,FY25 Q2,12763,1804,6.64,-0.16,-0.24,-0.22157092614302465
202503,2025,Q3,FY25 Q3,12018,1289,4.75,-0.09,-0.26,-0.2448330683624801
202504,2025,Q4,FY25 Q4,12394,1065,3.93,0.11,-0.14,-0.13626373626373622
202601,2026,Q1,FY26 Q1,9611,656,2.42,0.13,-0.25,-0.24137931034482762
202602,2026,Q2,FY26 Q2,13369,1773,6.55,0.05,-0.02,-0.013554216867469826
202603,2026,Q3,FY26 Q3,12608,1379,5.1,0.05,0.07,0.0736842105263158
